
"mAno";"mOrgão (Cod/Desc)";"mData Carga Dados";"mCategoria Econômica (Cod/Desc)";"mOrigem (Cod/Desc)";"mEspécie (Cod/Desc)";"mAlínea (Cod/Desc) / Desdob. 1";"mNatureza Receita (Cod)";"mNatureza Receita";"Soma Receita Prevista";"Soma Receita Arrecadada Líquida"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"133 - RECEITA DE CONCESSÕES E PERMISSÕES";"01 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA";"13330100";"REC. CONCESS. DE DIREITO REAL USO AREA PUBLIC";"1480971,00";"1405182,86"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"136 - CESSÃO DE DIREITOS";"01 - RECEITA CESSAO DIR.OPERACIONALIZACAO FOPAG";"13610100";"RECEITA CESSAO DIR.OPERACIONALIZACAO FOPAG";"0,00";"16052327,13"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"15 - RECEITA INDUSTRIAL";"152 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO";"29 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA";"15202900";"RECEITA DA INDUSTRIA EDITORIAL E GRAFICA";"789322,00";"673215,38"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"160 - RECEITA DE SERVIÇOS";"05 - SERVIÇOS DE SAÚDE";"16000599";"OUTROS SERVICOS DE SAUDE";"0,00";"886254,16"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"160 - RECEITA DE SERVIÇOS";"13 - SERVIÇOS ADMINISTRATIVOS";"16001300";"SERVICOS ADMINISTRATIVOS";"202690,00";"192166,76"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"27 - MULTAS E JUROS PREVISTOS EM CONTRATOS";"19192700";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"1120987,00";"1703694,26"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"99 - OUTRAS MULTAS";"19199900";"OUTRAS MULTAS";"0,00";"62,87"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"06 - INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"19210600";"INDENIZ. POR  DANOS CAUSADOS AO PATR. PUBLICO";"10562,00";"0,00"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"07 - RECUPERAÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"19220700";"RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES";"1687775,00";"1630883,75"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"99 - OUTRAS RESTITUIÇÕES";"19229900";"OUTRAS RESTITUICOES";"187078,00";"274286,76"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"00 - ALIENAÇÃO DE MÓVEIS E UTENSÍLIOS";"22160000";"ALIENACAO DE MOVEIS E UTENSILIOS";"181970,00";"0,00"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"00 - ALIENAÇÃO DE OUTROS BENS MÓVEIS";"22190000";"ALIENACAO DE OUTROS BENS MOVEIS";"0,00";"86390,00"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"00 - ALIENAÇÃO DE VEÍCULOS";"22150000";"ALIENACAO DE VEICULOS";"1070920,00";"316600,00"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"73 - RECEITA PATRIMONIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"733 - RECEITA DE CONCESSÕES E PERMISSÕES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"01 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA - OPERAÇÕES INTRA-ORÇAMENTÁRIAS";"73330100";"REC. CONCESS. DE DIREITO REAL USO AREA PUBLIC";"167782,00";"126422,09"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"752 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO - OPERAÇÕES INTRAORÇAMENTÁRIAS";"29 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75202900";"RECEITA DA INDUSTRIA EDITORIAL E GRAFICA";"985678,00";"20750,94"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"76 - RECEITA DE SERVIÇOS - OPERAÇÕES INTRAORÇAMENTÁRIAS";"760 - RECEITA DE SERVIÇOS - OPERAÇÕES INTRAORÇAMENTÁRIAS";"01 - SERVIÇOS COMERCIAS - OPERAÇÕES INTRAORÇAMENTÁRIAS";"76000102";"SERV.DE COM.LIVROS PERIOD.MAT.ESC.E PUBLICID.";"0,00";" -23006,40"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO";"0.01.1 - ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO";"13100111";"ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO - PRINCIPAL";"1475,00";"11800,48"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO";"0.02.1 - CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS";"13100211";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS - PRINCIPAL";"1599953,00";"1649820,94"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO";"0.02.1 - CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS";"13100212";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS - MULTAS E JUROS";"0,00";"59,60"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"136 - CESSÃO DE DIREITOS";"0.01.1 - CESSÃO DO DIREITO DE OPERACIONALIZAÇÃO DE PAGAMENTOS";"13600111";"CESSÃO DO DIREITO DE OPERACIONALIZAÇÃO DE PAGAMENTOS - PRINCIPAL";"39538013,00";"43433062,82"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"15 - RECEITA INDUSTRIAL";"150 - RECEITA INDUSTRIAL";"0.00.1 - RECEITA INDUSTRIAL";"15000011";"RECEITA INDUSTRIAL - PRINCIPAL";"827542,00";"684703,67"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"161 - SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS";"0.01.1 - SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS";"16100111";"SERVIÇOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL";"200694,00";"222687,21"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"163 - SERVIÇOS E ATIVIDADES REFERENTES À SAÚDE";"0.01.1 - SERVIÇOS DE ATENDIMENTO À SAÚDE";"16300111";"SERVIÇOS DE ATENDIMENTO À SAÚDE - PRINCIPAL";"0,00";"0,00"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"163 - SERVIÇOS E ATIVIDADES REFERENTES À SAÚDE";"0.01.1 - SERVIÇOS DE ATENDIMENTO À SAÚDE";"16300112";"SERVIÇOS DE ATENDIMENTO À SAÚDE - MULTAS E JUROS";"0,00";"0,00"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"163 - SERVIÇOS E ATIVIDADES REFERENTES À SAÚDE";"0.02.1 - SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR DO SERVIDOR CIVIL";"16300211";"SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR DO SERVIDOR CIVIL - PRINCIPAL";"1700000,00";"1326075,57"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"163 - SERVIÇOS E ATIVIDADES REFERENTES À SAÚDE";"0.02.1 - SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR DO SERVIDOR CIVIL";"16300212";"SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR DO SERVIDOR CIVIL - MULTAS E JUROS";"0,00";"13027,71"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"0.09.1 - MULTAS E JUROS PREVISTOS EM CONTRATOS";"19100911";"MULTAS E JUROS PREVISTOS EM CONTRATOS - PRINCIPAL";"648443,00";"2853701,22"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS";"1.01.1 - INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"19210111";"INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO - PRINCIPAL";"3846,00";"362,21"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS";"2.06.1 - RESTITUIÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"19220611";"RESTITUIÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES - PRINCIPAL";"0,00";"1498286,04"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS";"2.99.1 - OUTRAS RESTITUIÇÕES";"19229911";"OUTRAS RESTITUIÇÕES - PRINCIPAL";"192138,00";"69841,41"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"3.00.1 - ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"22130011";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"120906,00";"164610,00"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"73 - RECEITA PATRIMONIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"731 - EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO - OPERAÇÕES INTRAORÇAMENTÁRIAS";"0.02.1 - CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS - OPERAÇÕES INTRAORÇAMENTÁRIAS";"73100211";"CONCESSÃO, PERMISSÃO, AUTORIZAÇÃO OU CESSÃO DO DIREITO DE USO DE BENS IMÓVEIS PÚBLICOS - PRINCIPAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"153071,00";"148242,47"
"2016";"02000 - SENADO FEDERAL";"31/12/2016";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"750 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"0.00.1 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75000011";"RECEITA INDUSTRIAL - PRINCIPAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"600000,00";"862280,99"
